PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1016,1121127,PEA,???.????.??.???. ??????????,COD ????,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-596,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1022-VNE2-110,PVF1-PEA-106/2558,?????? 176/3 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11979,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1017,1121128,PEA,???.????.??.???. ??????????,COD ????,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-581,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1025-VNE2-110,PVF1-PEA-107/2558,?????? 176/4 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11980,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1023,1121134,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-494,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1051-VS3-110,PVF1-PEA-164/2558,?????? 88/3 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10629,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1024,1121135,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/59-603,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1052-VS3-110,PVF1-PEA-165/2558,?????? 88/4 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10630,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1025,1121136,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Feb-16,??? 01-1(1)/59-604,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1053-VS3-110,PVF1-PEA-166/2558,?????? 88/6 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10631,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1026,1121137,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-502,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1054-VS3-110,PVF1-PEA-167/2558,?????? 88/5 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10632,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1027,1121138,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-504,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1055-VS3-110,PVF1-PEA-168/2558,?????? 88/7 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10633,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1028,1121139,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Feb-16,??? 01-1(1)/58-503,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1056-VS3-110,PVF1-PEA-169/2558,?????? 88/8 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10634,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1029,1121140,PEA,???.??????????? ????,COD ????,7.2,8,8,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-505,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1057-VS3-110,PVF1-PEA-170/2558,?????? 88/9 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10635,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1031,1121142,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-507,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1047-VS3-110,PVF1-PEA-161/2558,?????? 88 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10637,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1032,1121143,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Feb-16,??? 01-1(1)/58-490,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1048-VS3-110,PVF1-PEA-162/2558,?????? 88/1 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10638,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1033,1121144,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-512,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1049-VS3-110,PVF1-PEA-163/2558,?????? ?????? 88/2 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10639,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1202,1121313,PEA,?????? ???????? ????? (??????? 3),COD ????,12.136,9.5,9.5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-13,18-Nov-13,??? 01-1(1)/62-898,NO   ,9,?????? 9 (?????????),??????,??????,??????,???????,NO   ,PEA-0379-VC3-110,VSPP-PEA-074/2553,?????? 96-97 ??????? 1 ?????????? ??????????? ????????????? ???????????? 73190,11038,115,???????,SNO,
1,Sep 2022,1203,1121314,PEA,?????? ???????? ????? (????????),COD ????,12,9.5,9.5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-13,16-Dec-13,??? 01-1(1)/62-900,NO   ,9,?????? 9 (?????????),??????????,??????????,????????,???????,NO   ,PEA-0380-VC3-110,VSPP-PEA-069/2553,?????? 317-318 ??????? 1 ???????????? ??????????????? ????????????????? ???????????? 72110,11039,115,???????,SNO,
1,Sep 2022,1204,1121315,PEA,?????? ???????? ????? (??????? 1),COD ????,12.136,9.5,9.5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-13,16-Dec-13,??? 01-1(1)/62-899,NO   ,9,?????? 9 (?????????),??????,??????,??????,???????,NO   ,PEA-0377-VC3-110,VSPP-PEA-072/2553,?????? 94-95 ??????? 1 ?????????? ??????????? ????????????? ???????????? 73190,11584,115,??????????,SNO,
1,Sep 2022,1205,1121316,PEA,?????? ???????? ????? (??????? 2),COD ????,12.136,9.5,9.5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-13,16-Dec-13,??? 01-1(1)/62-897,NO   ,9,?????? 9 (?????????),??????,??????,??????,???????,NO   ,PEA-0378-VC3-110,VSPP-PEA-073/2553,?????? 98-99 ??????? 1 ?????????? ??????????? ????????????? ???????????? 73190,11585,115,??????????,SNO,
1,Sep 2022,1206,1121317,PEA,?????? ???????? ????? (???????1),COD ????,12,9.5,9.5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-13,18-Nov-13,??? 01-1(1)/62-896,NO   ,9,?????? 9 (?????????),??????,??????,???????,???????,NO   ,PEA-0381-VC3-110,VSPP-PEA-070/2553,?????? 157-158 ??????? 17 ??????????? ??????????? ????????????? ???????????? 73190,11749,115,??????????,SNO,
1,Sep 2022,1207,1121318,PEA,?????? ???????? ????? (???????2),COD ????,12,9.5,9.5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-13,18-Nov-13,??? 01-1(1)/62-895,NO   ,9,?????? 9 (?????????),??????,??????,???????,???????,NO   ,PEA-0382-VC3-110,VSPP-PEA-071/2553,?????? 155-156 ??????? 17 ??????????? ??????????? ????????????? ???????????? 73190,11750,115,??????????,SNO,
