year,type,provinceNumber,provinceTranslate,regionNumber,province,fuel,contractCapacityMW,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2560,Solar PV Rooftop,42,ปทุมธานี, 5 ,ปทุมธานี,พลังงานแสงอาทิตย์,1.71887,161424,164169,180466,186439,160190,172166,163423,169282,169980,166860,153396,163427
2560,Solar PV Rooftop,60,ประจวบคีรีขันธ์, 7 ,ประจวบคีรีขันธ์,พลังงานแสงอาทิตย์,2.23326,212217,283126,308205,278123,211093,243188,195167,248382,259769,228065,205466,264139
2560,Solar PV Rooftop,53,ปราจีนบุรี, 6 ,ปราจีนบุรี,พลังงานแสงอาทิตย์,0.074685,6942,7218,7568,7637,6582,6648,6302,7266,7401,7233,6262,6881
2560,Solar PV Rooftop,70,ปัตตานี, 3 ,ปัตตานี,พลังงานแสงอาทิตย์,0.03496,2994,3898,4649,3810,3548,3163,3920,4030,3895,4033,2676,2560
2560,Solar PV Rooftop,39,พระนครศรีอยุธยา, 5 ,พระนครศรีอยุธยา,พลังงานแสงอาทิตย์,1.497065,131281,149660,164888,177588,157793,168705,158542,159560,153708,150784,133597,140140
2560,Solar PV Rooftop,5,พะเยา, 4 ,พะเยา,พลังงานแสงอาทิตย์,0.06922,6376,8054,8255,7927,7576,7707,6891,6881,6806,6928,6562,6824
2560,Solar PV Rooftop,68,พังงา, 3 ,พังงา,พลังงานแสงอาทิตย์,0.14282,12047,15177,16984,14196,11866,13123,13153,13362,12691,14382,12074,13124
2560,Solar PV Rooftop,71,พัทลุง, 3 ,พัทลุง,พลังงานแสงอาทิตย์,0.12635,7634,10248,13289,11802,12838,12779,13064,12950,12623,12785,8807,9170
2560,Solar PV Rooftop,13,พิจิตร, 4 ,พิจิตร,พลังงานแสงอาทิตย์,1.42598,133835,157013,173701,174567,165824,159947,148836,156372,155346,150105,132574,137655
2560,Solar PV Rooftop,7,พิษณุโลก, 4 ,พิษณุโลก,พลังงานแสงอาทิตย์,1.53139,142067,153158,188516,191176,179409,166310,152880,158016,162751,157434,145688,142839
2560,Solar PV Rooftop,67,ภูเก็ต, 3 ,ภูเก็ต,พลังงานแสงอาทิตย์,0.31232,30729,35945,38557,31496,26394,30607,32499,30847,27983,34087,28161,32070
2560,Solar PV Rooftop,32,มหาสารคาม, 2 ,มหาสารคาม,พลังงานแสงอาทิตย์,0.54132,64525,63191,63011,64798,66457,60438,55684,63281,56308,62118,51580,62119
2560,Solar PV Rooftop,34,มุกดาหาร, 2 ,มุกดาหาร,พลังงานแสงอาทิตย์,1.35737,153919,150515,151422,154761,147819,130277,115044,143925,132109,148417,135993,139800
2560,Solar PV Rooftop,69,ยะลา, 3 ,ยะลา,พลังงานแสงอาทิตย์,0.0299,2598,3177,3404,2883,2884,2795,3188,3135,2899,2797,2071,2026
2560,Solar PV Rooftop,29,ยโสธร, 2 ,ยโสธร,พลังงานแสงอาทิตย์,0.02942,2803,2755,3083,2841,3001,2752,2339,2711,2312,2500,2399,2460
2560,Solar PV Rooftop,62,ระนอง, 3 ,ระนอง,พลังงานแสงอาทิตย์,0.08,5046,7107,8541,8157,7211,6863,5678,6166,5956,6077,4632,4663
