year,type,provinceNumber,provinceTranslate,regionNumber,province,fuel,contractCapacityMW,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2559,Adder,43,นครนายก, 5 ,นครนายก,ชีวภาพ,0.96,285540,308020,366540,313340,300220,210520,2860,314420,323160,288360,317740,228700
2559,Adder,43,นครนายก, 5 ,นครนายก,พลังงานแสงอาทิตย์,8.056,1313437,1123381,1332004,1305616,1261113,986544,1143331,1217244,1177874,1213857,1347349,1261791
2559,Adder,54,นครปฐม, 7 ,นครปฐม,ขยะ,20.21,7100886,6053788,5894520,5586568,5540704,4781332,4683448,4617396,4593080,6268572,6305580,6037167
2559,Adder,54,นครปฐม, 7 ,นครปฐม,ชีวภาพ,3.801,686216,672772,926800,984640,1062503,1015895,1089280,1025563,1109722,932768,919725,591310
2559,Adder,54,นครปฐม, 7 ,นครปฐม,ชีวมวล,0,9422096,7130794,2618287,0,0,0,0,0,0,0,0,0
2559,Adder,54,นครปฐม, 7 ,นครปฐม,พลังงานแสงอาทิตย์,80.25,14186952,13443337,14797795,15244973,14974144,12735406,13065669,13842869,12917595,12988182,13062520,12758179
2559,Adder,21,นครพนม, 2 ,นครพนม,ชีวมวล,0,3192,2688,3727,0,0,0,0,0,0,0,0,0
2559,Adder,21,นครพนม, 2 ,นครพนม,พลังงานแสงอาทิตย์,17.6427,2527720,3163698,2920400,2694800,2740160,2557600,2457598,2464603,2262262,2811758,2919936,2975916
2559,Adder,35,นครราชสีมา, 2 ,นครราชสีมา,ขยะ,0.3,0,0,0,0,190,362,4631,7653,5749,1233,2952,14950
2559,Adder,35,นครราชสีมา, 2 ,นครราชสีมา,ชีวภาพ,49.137,11237529,12327828,14156756,12089835,13468809,10154250,13052740,13849924,13928762,12471802,10033965,11836203
