PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1845,1121956,PEA,บจก.ออลวัน โซลาร์ พาวเวอร์ (3),COD แล้ว,1.65,2,2,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,42551,42368,กกพ 01-1(1)/58-486,NO   ,10,เขตที่ 10 (ราชบุรี),ประจวบคีรีขันธ์,กุยบุรี,กุยบุรี,ภาคใต้,NO   ,PEA-0987-VC1-110,PVF1-PEA-134/2558,เลขที่ 340 หมู่ที่ 5 ตำบลกุยบุรี อำเภอกุยบุรี จังหวัดประจวบคีรีขันธ์ รหัสไปรษณีย์ 77150,11023,22,กุยบุรี,PKK,gis
1,Sep 2022,1848,1121959,PEA,บจก.อัลไลแอนซ์ คลีน เพาเวอร์,COD แล้ว,6,6,4.5,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,MSW,ขยะ,Power Generation,42730,42703,กกพ 01-1(1)/59-638,NO   ,4,เขตที่ 4 (ขอนแก่น),ขอนแก่น,เมืองขอนแก่น,โนนท่อน,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-1196-VNE1-612,VSPP-PEA-029/2556,เลขที่ 370 หมู่ที่ 7 ถนนมิตรภาพ ตำบลโนนท่อน อำเภอเมืองขอนแก่น จังหวัดขอนแก่น รหัสไปรษณีย์ 40000,10718,22,ขอนแก่น 3,KK3,vlook
1,Sep 2022,185,1120693,PEA,บริษัท โซล่า เพาเวอร์ (นครพนม 2) จำกัด,COD แล้ว,7.46496,5.94,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41759,41698,กกพ 01-1(1)/57-342,NO   ,4,เขตที่ 4 (ขอนแก่น),นครพนม,ปลาปาก,มหาชัย,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0363-VNE1-110,VSPP-PEA-009/2553,เลขที่ 88/2 หมู่ที่ 3 ตำบลมหาชัย อำเภอปลาปาก จังหวัดนครพนม รหัสไปรษณีย์ 48160,11690,22,นครพนม,NN,vlook
1,Sep 2022,1856,1121967,PEA,บจก.อัลไลแอนซ์ คลีน เพาเวอร์,COD แล้ว,9.9,9.9,8,VSPP,Non-Firm,Thermal,Thermal,N/A,N/A,Renewable,Biomass,เศษวัสดุ,Power Generation,41820,42230,กกพ 01-1(1)/58-420,NO   ,5,เขตที่ 5 (อุบลราชธานี),อุบลราชธานี,สิรินธร,ฝางคำ,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0691-VNE2-416,VSPP-PEA 130/2552,เลขที่ 190 หมู่ที่ 4 ตำบลฝางคำ อำเภอสิรินธร จังหวัดอุบลราชธานี รหัสไปรษณีย์ 34350,11777,22,สิรินธร,SRD,vlook
1,Sep 2022,186,1120694,PEA,บริษัท โซล่า เพาเวอร์ (นครพนม 3) จำกัด,COD แล้ว,7.46496,5.94,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41759,41708,กกพ 01-1(1)/57-335,NO   ,4,เขตที่ 4 (ขอนแก่น),นครพนม,ธาตุพนม,ฝั่งแดง,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0338-VNE1-110,VSPP-PEA-343/2552,เลขที่ 8 หมู่ที่ 6 ตำบลฝั่งแดง อำเภอธาตุพนม จังหวัดนครพนม รหัสไปรษณีย์ 48110,11046,22,ธาตุพนม,TH,vlook
1,Sep 2022,187,1120276,PEA,บริษัท โซล่า เพาเวอร์ (เลย 1) จำกัด,COD แล้ว,6.12,5.88,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,40787,40801,กกพ 01-1(1)/54-156,NO   ,4,เขตที่ 4 (ขอนแก่น),เลย,วังสะพุง,หนองหญ้าปล้อง,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0334-VNE1-110,VSPP-PEA-238/2552,เลขที่ 88/8 หมู่ที่ 9 ตำบลหนองหญ้าปล้อง อำเภอวังสะพุง จังหวัดเลย รหัสไปรษณีย์ 42130,11616,22,เลย,HUA HIN (115 kV),vlook
1,Sep 2022,1873,1121984,PEA,บจก.อิเควเตอร์ โซลา,COD แล้ว,3.96,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,42551,42551,กกพ 01-1(1)/59-617,NO   ,10,เขตที่ 10 (ราชบุรี),เพชรบุรี,ชะอำ,เขาใหญ่,ภาคใต้,NO   ,PEA-1004-VS3-110,PVF1-PEA-159/2558,เลขที่  89/16 หมู่ที่ 4 ตำบลเขาใหญ่ อำเภอชะอำ จังหวัดเพชรบุรี รหัสไปรษณีย์ 76120,10625,22,ชะอำ 1,HUA HIN (115 kV),vlook
1,Sep 2022,1874,1121985,PEA,บจก.อิเควเตอร์ โซลา,COD แล้ว,3.96,5,5,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,42551,42551,กกพ 01-1(1)/58-515,NO   ,10,เขตที่ 10 (ราชบุรี),เพชรบุรี,ชะอำ,เขาใหญ่,ภาคใต้,NO   ,PEA-1005-VS3-110,PVF1-PEA-160/2558,เลขที่ 89/17 หมู่ที่ 4 ตำบลเขาใหญ่ อำเภอชะอำ จังหวัดเพชรบุรี รหัสไปรษณีย์ 76120,10626,22,ชะอำ 1,HUA HIN (115 kV),vlook
1,Sep 2022,188,1120695,PEA,บริษัท โซล่า เพาเวอร์ (เลย 2) จำกัด,COD แล้ว,7.46496,5.94,5.88,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,41759,41753,กกพ 01-1(1)/57-362,NO   ,4,เขตที่ 4 (ขอนแก่น),เลย,วังสะพุง,ศรีสงคราม,ภาคตะวันออกเฉียงเหนือ,NO   ,PEA-0351-VNE1-110,VSPP-PEA-325/2552,เลขที่ 88/1 หมู่ที่ 9 ตำบลศรีสงคราม อำเภอวังสะพุง จังหวัดเลย รหัสไปรษณีย์ 42130,11617,22,เลย,LE,vlook
1,Sep 2022,1880,1121991,PEA,บจก.อิเลคตริก้า เอเชีย เพาเวอร์,COD แล้ว,8,8,8,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,42369,42487,กกพ 01-1(1)/58-527,NO   ,9,เขตที่ 9 (กาญจนบุรี),สมุทรสาคร,เมืองสมุทรสาคร,กาหลง,ภาคกลาง,NO   ,PEA-0988-VC2-110,PVF1-PEA-141/2558,"เลขที่ โฉนดเลขที่ 128623 (บางส่วน), 1 หมู่ที่ 3 ตำบลกาหลง อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร รหัสไปรษณีย์ 74000",11370,22,สมุทรสาคร 5,SN4,gis
